City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
213,El Banco,CO,9.0011,-73.9758,92.48,48,70,3.49,broken clouds
214,Zhanaozen,KZ,43.3,52.8,32.79,55,72,21.81,broken clouds
215,Surt,LY,31.2089,16.5887,63.9,74,10,12.19,clear sky
216,Mount Gambier,AU,-37.8333,140.7667,54.05,95,10,4.81,clear sky
217,Hithadhoo,MV,-0.6,73.0833,82.0,62,64,3.58,broken clouds
218,Skara,SE,58.3866,13.4384,49.73,40,86,3.0,overcast clouds
219,Daru,PG,-9.0763,143.2092,76.57,91,95,5.84,overcast clouds
220,Minab,IR,27.1467,57.0801,73.74,55,0,7.9,clear sky
221,Letavertes,HU,47.3833,21.9,64.65,44,0,6.49,clear sky
222,Sambava,MG,-14.2667,50.1667,79.23,84,9,2.75,clear sky
223,Cherskiy,RU,68.75,161.3,-17.19,100,34,3.65,scattered clouds
224,Rebrikha,RU,53.0733,82.3408,30.54,94,100,8.16,overcast clouds
225,Manjacaze,MZ,-24.7117,33.8828,74.71,66,3,11.56,clear sky
226,Male,MV,4.1748,73.5089,82.71,68,0,2.86,clear sky
227,Tecoanapa,MX,16.5167,-98.75,85.39,36,94,3.53,overcast clouds
228,Batagay-Alyta,RU,67.8006,130.4114,-13.58,89,52,6.11,broken clouds
229,Udachnyy,RU,66.4167,112.4,-1.5,100,99,5.5,overcast clouds
230,Miraflores,MX,19.2167,-98.8083,67.03,20,1,2.68,clear sky
231,Teknaf,BD,20.8624,92.3058,77.14,91,1,2.93,clear sky
232,Bathsheba,BB,13.2167,-59.5167,86.61,58,20,21.85,few clouds
233,Zhigalovo,RU,54.8097,105.1578,-2.09,100,59,2.51,broken clouds
234,Vao,NC,-22.6667,167.4833,76.95,69,97,13.87,overcast clouds
235,Lavrentiya,RU,65.5833,-171.0,-4.65,88,23,6.2,few clouds
236,Turukhansk,RU,65.8167,87.9833,6.6,91,30,9.06,scattered clouds
237,Port Hedland,AU,-20.3167,118.5667,82.45,78,100,10.36,overcast clouds
238,Russell,US,32.3502,-85.1999,67.96,34,18,1.9,few clouds
239,Mendi,PG,-6.1761,143.6513,54.66,99,100,2.51,overcast clouds
240,Larsnes,NO,62.2028,5.5773,39.67,74,88,14.18,overcast clouds
241,Esperance,AU,-33.8667,121.9,63.3,75,86,10.8,overcast clouds
242,Yenagoa,NG,4.9247,6.2642,90.59,55,87,11.63,overcast clouds
